;count;mean;std;min;50%;max
PROCESSSING_ACPS_PELOTAS - RIO GRANDE;9.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_PETROLINA - JUAZEIRO;5.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_PORTO ALEGRE;7.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_RECIFE;5.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_RIBEIRAO PRETO;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_RIO DE JANEIRO;12.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_SALVADOR;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_SANTOS;1.0;1.0;;1.0;1.0;1.0
PROCESSSING_ACPS_SAO JOSE DO RIO PRETO;2.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_SAO JOSE DOS CAMPOS;9.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_SAO LUIS;3.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_SAO PAULO;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_SOROCABA;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_TERESINA;4.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_UBERLANDIA;2.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_VITORIA;9.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_VOLTA REDONDA - BARRA MANSA;6.0;1.0;0.0;1.0;1.0;1.0
PRODUCTION_MAGNITUDE;250.0;104.2194;59.536041610461226;2.25;109.96000000000001;199.95
SIZE_MARKET;250.0;27.45232;13.414197994997538;5.36;26.765;49.95
STICKY_PRICES;250.0;0.51164;0.28850554970196907;0.01;0.525;0.99
TAX_CONSUMPTION;250.0;0.00216736704;0.0011963555211883924;4.175e-05;0.0023192;0.00397181
TAX_ESTATE_TRANSACTION;250.0;3.70824e-06;1.956425543184329e-06;8e-08;3.735e-06;6.98e-06
TAX_FIRM;250.0;0.0020588848;0.0011276732994386395;6.396e-05;0.002058705;0.00399097
TAX_LABOR;250.0;0.0008198669199999999;0.0004226301978280519;2.113e-05;0.00084505;0.00149494
TAX_PROPERTY;250.0;1.9692e-06;1.151275597764511e-06;5e-08;1.8749999999999998e-06;3.96e-06
TREASURE_INTO_SERVICES;250.0;1.0096882754399998;0.11406348144415396;0.8010304;1.016161425;1.19996349
